id,name,text,trans
19,,<span class='scene-font-katari'>ふむ、と思案しながらボールを拾い、</span><br><span class='scene-font-katari'>姬塔達の所へ戻るルシオ。</span>,路西欧一边思考着一边捡起排球回到姬塔一行人的身边。
20,ルシオの声/路西欧的声音,フフ、それでは私がサーブを──,呵呵，那么该我发球了──
21,ルシオの声/路西欧的声音,とおう！,哈啊！
22,サンダルフォン/圣德芬,……不敬だ。,……大不敬。
23,,<span class='scene-font-katari'>珈琲の熱と苦味で気を紛らわせるように</span><br><span class='scene-font-katari'>サンダルフォンはカップを口に運ぶ。</span>,似乎是想借用咖啡的热气和苦味分散注意力，圣德芬把杯子送到了嘴边，
29,,<span class='scene-font-katari'>やがて──</span>,终于──
30,ルシオ/路西欧,サンちゃん、姬塔達が<br>泳ぎに出るそうですが。<br>一緒にいかがです？,芬酱，姬塔他们要去游泳，你也来吗？
31,サンダルフォン/圣德芬,な……,什么……
32,サンダルフォン/圣德芬,……勝手に行けばいいだろう。<br>俺はもう少し木陰にいる。,……你们去游吧，我想乘凉。
33,ルシオ/路西欧,なるほど……<br>では、木陰を探して<br>釣りなどどうでしょう？,这样啊……那我们找个树荫去钓鱼吧？
34,サンダルフォン/圣德芬,豆の調達など、昼間のうちに<br>済ませておきたい事もある。,我白天还要去调配咖啡豆什么的。
35,ルシオ/路西欧,ふむ……<br>それでは夜の光華大会などは？,嗯……那晚上去看烟花大会？
36,サンダルフォン/圣德芬,……珈琲の淹れ方を研究したい。,……晚上我要研究咖啡的冲泡。
37,ルシオ/路西欧,フフ、<br>お忙しいのですね、サンちゃんは。,呵呵，芬酱真忙呀。
38,ルシオ/路西欧,それほどまでに情熱を傾ける珈琲、<br>いつか私も<br>ご馳走に預かりたいものです。,我也想尝尝你充满热情天天钻研的咖啡。
39,サンダルフォン/圣德芬,…………！！,…………！！
41,ルシオ/路西欧,おや……,咦……
42,サンダルフォン/圣德芬,何故俺に構う……！,为什么你老是缠着我……！
43,ルシオ/路西欧,それは──,那是因为──
44,サンダルフォン/圣德芬,それもあの方のお顔で、<br>このようにチャラチャラと……！,而且还是用那位大人的容貌吊儿郎当的晃来晃去……！
45,ルシオ/路西欧,いえ、私はサンちゃんと──,不是，我只是想和芬酱──
46,サンダルフォン/圣德芬,何故、貴様は……！,你这家伙，为什么……！
47,ルシオ/路西欧,……すみません。<br>少し、焦りすぎてしまったようです。,……对不起，好像我太心急了。
48,サンダルフォン/圣德芬,…………,…………
49,ルシオ/路西欧,時間を置いて──<br>また、お互いに心が落ち着いた頃に<br>もういちどお話させてください。,等我们都冷静下来，请让我再跟你谈一谈。
50,サンダルフォン/圣德芬,…………,…………
51,ルシオ/路西欧,私は決して、<br>あなたを怒らせたいわけでは<br>なかったのです。,我真的不是故意想让你动怒。
53,ルシオ/路西欧,……では。,……再会。
54,,<span class='scene-font-katari'>振り返り、ルシオは変わらず微笑む。</span><br><span class='scene-font-katari'>姬塔達の興を削がぬよう、</span><br><span class='scene-font-katari'>サンダルフォンに責を負わせぬよう──</span>,路西欧的脸上仍然挂着微笑，为了不影响姬塔一行人的兴致，也为了不让圣德芬自责──
55,ルシオ/路西欧,……難しいものですね。<br>どうしたらよいものか。,……真难啊，我要怎么办才好。
56,,<span class='scene-font-katari'>その目にわずかな自嘲の色を浮かべ、</span><br><span class='scene-font-katari'>ルシオは海へと向かった。</span>,他的目光带着少许自嘲，缓缓地走向海岸。
info,,,scene_chr619_q2_s10
译者,,,sol
