id,name,text,trans
65,街医者,えっと、使わなくなった<br>畑用の用水池があるけど……,
66,エウロペ/欧罗巴,でしたら、そこにお水を<br>生成いたしましょう。,
67,エウロペ/欧罗巴,池いっぱいのお水があれば、<br>滞りなく皆様に配れるはずです。,
68,街医者,そ、それはそうだけど、<br>その……いいのかい？<br>凄い量になるけど……,
69,エウロペ/欧罗巴,問題ございません。<br>私にお任せくださいませ。,
70,街医者,あ……ありがとう！<br>君に心からの感謝を……,
71,,<span class='scene-font-katari'>医者は驚きと歓喜の</span><br><span class='scene-font-katari'>混じった表情を浮かべると</span><br><span class='scene-font-katari'>エウロペに対し、深く頭を下げる。</span>,
72,街医者,後は元気な人達に声をかけて、<br>水を配るのを手伝ってもらえば……,
72-sel1_txt,,<span class='scene-font-katari'>手伝わせてください</span>,
73,街医者,え、いいのかい？<br>君はまだ、病み上がりなのに……,
74,ビィ/碧,もちろん、<br>オイラ達も手伝うぜ！,
75,ルリア/露莉亚,はい！,
76,街医者,ありがとう、君達！,
77,,<span class='scene-font-katari'>その後、姬塔達は、</span><br><span class='scene-font-katari'>エウロペが生成した清らかな水を、</span><br><span class='scene-font-katari'>病の患者達に配っていく。</span>,
78,,<span class='scene-font-katari'>そして、それを機に</span><br><span class='scene-font-katari'>少しずつ街の人達に元気が</span><br><span class='scene-font-katari'>戻っていくのだった。</span>,
82,ビィ/碧,それで、これからどうするんだ？,
83,ルリア/露莉亚,確か、水源が汚染されてるって<br>エウロペさんが言ってましたよね？,
84,エウロペ/欧罗巴,…………,
85,ルリア/露莉亚,あの……エウロペさん？,
86,エウロペ/欧罗巴,……はっ。,
87,エウロペ/欧罗巴,も、申し訳ありません。<br>少し他の事に気を取られていました。,
88,ビィ/碧,なんか、気になることでもあったのか？,
89,エウロペ/欧罗巴,いえ……<br>ただ、美しい光景だと思いまして……,
90,,<span class='scene-font-katari'>エウロペは少しずつ</span><br><span class='scene-font-katari'>活気づいていく街や人々に目を向けると</span><br><span class='scene-font-katari'>うっとりとした表情を浮かべる。</span>,
91,エウロペ/欧罗巴,人々が支え合い、助けあうことで、<br>多くの人に笑顔が広がっていく……,
92,エウロペ/欧罗巴,そして、その笑顔が<br>人々の活力になり、<br>街全体が再生されていく……,
93,エウロペ/欧罗巴,実に美しい……,
94,ルリア/露莉亚,ふふっ、エウロペさんが<br>そんな風にうっとりするの、<br>初めて見ました。,
95,エウロペ/欧罗巴,姬塔様、<br>このような美しいものを<br>見せていただき心から感謝いたします。,
96,エウロペ/欧罗巴,……申し訳ありません。<br>お話が逸れてしまいました。,
97,エウロペ/欧罗巴,それで、どうかしましたか？,
98,ルリア/露莉亚,あ、えっと、エウロペさん、<br>前に水源が汚染されてるって<br>言ってましたよね？,
99,エウロペ/欧罗巴,はい。あのお水を見る限り、<br>間違いなく水源そのものが<br>汚染されているでしょう。,
99-sel1_txt,,<span class='scene-font-katari'>一度、水源を見に行こう</span>,
99-sel2_txt,,<span class='scene-font-katari'>街が落ち着いたら、見に行こう</span>,
100,エウロペ/欧罗巴,私も賛成です。<br>この美しい光景がなくなってしまうのは<br>心苦しいですから。,
103,街医者,そういうことなら、<br>私が水源へと案内させてもらうよ。,
107,街医者,街の方は君達のお蔭でもう大丈夫だよ。<br>それにエウロペさんに<br>作ってもらった水もあるから。,
108,ビィ/碧,なら、オイラ達は水源を見に行くか？,
109,,<span class='scene-font-katari'>その言葉に</span><br><span class='scene-font-katari'>姬塔は頷く。</span>,
110,エウロペ/欧罗巴,私も賛成です。<br>この問題は根本を何とかしなければ、<br>解決いたしませんので。,
111,街医者,なら、水源への案内は<br>私がさせてもらうよ。,
112,ビィ/碧,それじゃ、急いで行こうぜ。,
113,,<span class='scene-font-katari'>その言葉に頷くと</span><br><span class='scene-font-katari'>姬塔達は医者の案内の元、</span><br><span class='scene-font-katari'>水源へと向かうのだった。</span>,
118,,<span class='scene-font-katari'>医者の案内の元、</span><br><span class='scene-font-katari'>水源へと辿りついた姬塔達。</span>,
119,,<span class='scene-font-katari'>しかし、そこで目にしたのは</span><br><span class='scene-font-katari'>水面に浮かぶ数多の魔物や動物の亡骸で</span><br><span class='scene-font-katari'>淀み、不気味に泡立つ池であった。</span>,
120,街医者,なっ！？<br>な、なんでこんなことになって……<br>いったい、どうして……,
121,,<span class='scene-font-katari'>呆然とした表情を浮かべた医者は</span><br><span class='scene-font-katari'>ふらふらとした足取りで</span><br><span class='scene-font-katari'>池に近づく。</span>,
130,,<span class='scene-font-katari'>次の瞬間、激しい水柱が立つと</span><br><span class='scene-font-katari'>その中から、</span><br><span class='scene-font-katari'>巨大な魔物が姿を現す。</span>,
131,,<span class='scene-font-katari'>その魔物の口には</span><br><span class='scene-font-katari'>巨大な牙で貫かれ、絶命している</span><br><span class='scene-font-katari'>動物が咥えられていた。</span>,
133,街医者,ひっ！,
134,ビィ/碧,おい、逃げろっ！,
135,,<span class='scene-font-katari'>医者は頷くと</span><br><span class='scene-font-katari'>一目散に姬塔達のところに</span><br><span class='scene-font-katari'>戻ってくる。</span>,
139,,<span class='scene-font-katari'>魔物は咥えていた動物の亡骸を</span><br><span class='scene-font-katari'>捨てると、威嚇の声をあげて、</span><br><span class='scene-font-katari'>姬塔達を警戒する。</span>,
140,エウロペ/欧罗巴,なるほど……<br>この魔物は池に近づいたものを<br>餌にしていたのですね。,
141,ビィ/碧,って、ことはよ、<br>池の上に浮かんでる<br>沢山の魔物や動物達は……,
142,エウロペ/欧罗巴,この魔物の餌となったもの達の<br>なれの果てでしょう。,
143,エウロペ/欧罗巴,そして、そこから溢れ出た<br>血等の体液が水に溶け込み、<br>この池そのものを汚染したのです。,
144,ルリア/露莉亚,じゃあ、あの魔物の所為で<br>お水が汚れちゃったんですか……？,
145,エウロペ/欧罗巴,原因のひとつであることは<br>間違いないでしょう。,
146,エウロペ/欧罗巴,少なくとも、あの魔物を排除して<br>水源そのものを清めない限り、<br>病がなくなることはないでしょう。,
147,街医者,この水源から湧き出る水は<br>街の生命線……,
148,街医者,この水が飲めなくなれば、<br>街はいずれ……,
148-sel1_txt,,<span class='scene-font-katari'>あの魔物を倒そう</span>,
148-sel2_txt,,<span class='scene-font-katari'>街の人達を救おう</span>,
153,エウロペ/欧罗巴,姬塔様の望むままに……,
158,エウロペ/欧罗巴,姬塔様なら、<br>そう言うと<br>思っておりました。,
159,街医者,君達……ありがとう……<br>本当にありがとう……<br>君達は街の恩人だよ。,
160,,<span class='scene-font-katari'>医者は涙を流しながら、</span><br><span class='scene-font-katari'>何度も何度も姬塔達に</span><br><span class='scene-font-katari'>礼をいう。</span>,
161,エウロペ/欧罗巴,まだ、事態は解決しておりませんよ。<br>……人間とは不思議なものですね。,
162,エウロペ/欧罗巴,それでは姬塔様、<br>街の人達を救うために<br>あの魔物を退けましょう。,
info,,,scene_chr501_q3_s20
译者,,,
